Partlist

Exported from TiLDA Mk2 Prototype v0.1.sch at 18/01/2014 12:49:16

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                    Package                  Library           Sheet

C1       0805/2u2/10V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C2       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C3       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C4       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C5       0402/2n2/50V/X7R            C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C6       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C7       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C8       0402/10n/4V/X7R             C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C9       0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C10      0805/2u2/10V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C11      0805/2u2/16V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C12      0805/2u2/16V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C13      0805/2u2/25V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C14      0805/2u2/16V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C15      0805/2u2/25V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
C16      0805/2u2/25V/Y5V            C-EUC0805K                C0805K                   TiLDA Mk2 Parts   1
