!Units of X-Y coordinates are in millimeters
component ref, x, y, r, component value, package
C2,52.7500,38.5000,0,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C4,33.0000,13.7000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C5,30.7000,18.3500,0,0402/2n2/50V/X7R,C0402-ARDUINO-ROUND
C6,30.3000,10.7000,0,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C8,28.2000,10.7000,0,0402/10n/4V/X7R,C0402-ARDUINO-ROUND
C9,33.5500,47.9500,0,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C27,24.0000,10.6500,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C28,23.0500,17.8500,0,0603/4u7/6V3/Y5V,C0603-ROUND
C29,4.8000,66.4000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C30,37.8000,15.6000,90,0805/10u/6V3/X5R,C0805RND
C31,25.3000,18.0000,270,0402/0u22/10V/X5R,C0402-ARDUINO-ROUND
C32,52.9000,70.1000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C33,44.6000,7.3000,0,0805/10u/6V3/X5R,C0805RND
C34,44.1000,10.8000,270,0603/1u/10V/X5R,C0603-ROUND
C36,50.1500,12.5000,90,0805/10u/6V3/X5R,C0805RND
C37,10.9000,3.6000,270,0805/10u/6V3/X5R,C0805RND
C38,5.2000,74.0000,180,0603/1u/10V/X5R,C0603-ROUND
C39,18.7000,36.2000,0,0603/1u/10V/X5R,C0603-ROUND
C40,19.6000,34.8500,0,0603/1u/10V/X5R,C0603-ROUND
C41,19.6000,33.5000,180,0603/1u/10V/X5R,C0603-ROUND
C42,19.6000,31.9000,0,0603/1u/10V/X5R,C0603-ROUND
C43,16.6000,31.3000,0,0603/1u/10V/X5R,C0603-ROUND
C44,16.6000,29.9500,0,0603/1u/10V/X5R,C0603-ROUND
C45,19.6500,29.6500,0,0603/1u/10V/X5R,C0603-ROUND
C46,19.6500,28.3000,0,0603/1u/10V/X5R,C0603-ROUND
C47,19.6500,26.9500,0,0603/1u/10V/X5R,C0603-ROUND
C48,57.3000,8.8000,90,0603/4u7/6V3/Y5V,C0603-ROUND
C49,51.7000,8.8000,90,0603/4u7/6V3/Y5V,C0603-ROUND
C50,42.4000,10.6000,90,0805/10u/6V3/X5R,C0805RNDPOL
C101,50.7000,49.8000,0,0805/10u/6V3/X5R,C0805RNDPOL
C102,14.4500,45.4000,180,0805/10u/6V3/X5R,C0805RNDPOL
C103,50.3000,53.5000,0,0805/10u/6V3/X5R,C0805RNDPOL
C104,39.2000,49.1000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C105,21.9000,65.3000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C106,36.9000,47.1000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C107,48.0500,69.7500,270,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C108,35.2000,74.4000,0,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C109,27.9500,48.3500,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C110,46.1000,51.2000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C111,39.7500,45.1000,270,0805/10u/6V3/X5R,C0805RNDPOL
C112,39.8000,47.4000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C113,21.7500,66.9500,0,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C114,30.2000,48.1500,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C115,35.5500,47.9000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C116,48.1500,68.3500,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C117,37.0000,74.0000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C118,51.8000,47.8000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C119,47.2000,53.5000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C120,30.8500,35.8500,180,0402/10n/10v/Y5V,C0402-ARDUINO-ROUND
C121,21.1500,54.8000,0,0402/7p/,C0402-ARDUINO-ROUND
C122,19.8000,49.9000,90,0402/7p/,C0402-ARDUINO-ROUND
C123,32.8000,42.7500,0,0402/15p/,C0402-ARDUINO-ROUND
C124,30.8000,42.7500,180,0402/15p/,C0402-ARDUINO-ROUND
C125,19.2500,48.1500,90,0402/15p/,C0402-ARDUINO-ROUND
C126,13.9500,30.0000,180,0402/10n/10V/Y5V,C0402-ARDUINO-ROUND
!C127,15.5000,32.9000,0,0805/10u/6V3/X5R/(NP),C0805RNDPOL
C132,18.8000,56.1000,90,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
C133,17.2000,56.6000,90,0805/10u/6V3/X5R,C0805RNDPOL
C134,48.8000,47.7000,180,0402/100n/10V/X5R,C0402-ARDUINO-ROUND
!C135,15.5000,34.8000,0,0805/10u/6V3/X5R/(NP),C0805RNDPOL
D2,54.4000,50.0000,0,BAT54C,SOT23
IC1,34.8000,61.9000,270,ATSAM3X8EA-AU,LQFP144
IC2,29.5000,14.5000,0,MPU-6050,QFN-24-NODIE
IC3,48.1500,28.9500,270,SRF-V1.2,SRF-LANDING-1.2
IC5,51.6000,75.5873,0,S25FL216K0PMFI011,SO08-EIAJ
!IC7,23.8000,14.5000,90,HMC5883LSMD (NP),16LPCC
IC8,43.1365,15.9000,0,MCP1825T-3302E/DC,SOT127P700X180-6N
IC9,47.0000,10.8000,90,TC1015-3V3,SOT23-5
IC10,54.5000,8.8000,90,MCP73831,SOT23-5
J1,11.3250,25.0000,0,ZX62-AB-5PA(11),USB-AB-MICRO-SMD_LWK
!J5,33.0000,95.9000,180,1050270001 (NP),105027-LWK
J7,23.6250,34.5000,270,SFV30R-2STE1HLF,SFV30R-2STE1HLF
JP8,30.7500,28.2500,270,SRF Reprogram,2X4-PAD
L101,45.6000,48.8000,90,MH2029-300Y,WUERTH-0805
L102,13.9000,53.9000,270,MH2029-300Y,WUERTH-0805
L103,47.2000,48.8000,90,MH2029-300Y,WUERTH-0805
L105,15.5000,53.9000,90,MH2029-300Y,WUERTH-0805
Q8,54.5000,14.3000,180,BSS84W,SC70-3-R
