!Units of X-Y coordinates are in millimeters
component ref, x, y, r, component value, package
!IR_RX,14.5000,69.5000,180,TSOP75238TT (NP),TSOP75X
IR_TX,59.5000,8.0000,180,VSMB3940X01-GS08,P-LCC-2
LED1,37.0000,85.0000,270,CLV1A-FKB,LED-RGB_CLV1A-FKB
LED2,31.0000,85.0000,270,CLV1A-FKB,LED-RGB_CLV1A-FKB
RX,18.2500,1.2500,180,0603/LED/RED,LED-0805-CORRECT
S1,7.0000,13.0000,180,SKQGAKE010,TACTILE_SWITCH_SMD
!S5,20.5000,83.9000,90,SKQGAKE010 (NP),TACTILE_SWITCH_SMD
!S6,14.0000,77.9000,90,SKQGAKE010 (NP),TACTILE_SWITCH_SMD
S7,48.0000,84.0000,135,SKRHAAE010,JOYSTICK_MULTICOMP
S9,20.5000,83.9000,270,3x6x2.5,TACTILE_SWITCH_SMD_3X6X2.5H
S10,14.0000,77.9000,90,3x6x2.5,TACTILE_SWITCH_SMD_3X6X2.5H
TX,14.5000,1.2500,0,0603/LED/RED,LED-0805-CORRECT

FIDUCIALS SECTION
fiducial type, package, x, y, detection type
board,FIDUCIAL-1X2.5-STOP,61.5000,89.0000,auto
board,FIDUCIAL-1X2.5-STOP,64.5000,2.0000,auto
board,FIDUCIAL-1X2.5-STOP,6.2000,50.0000,auto
